Version,Version_Season,Season,Full_Name,Castaway_Id,Order,Result,Jury_Status,Place,Jury,Finalist,Winner,Season_Castaway_Id,Finale_Categorization,Era
US,US43,43,Jesse Lopez,US0634,15.0,Lost final 4 fire challenge,8th jury member,4,True,False,False,US43US0634,Jury,New Era
US,US43,43,Justine Brennan,US0635,2.0,2nd voted out,nan,17,False,False,False,US43US0635,Voted out pre-jury,New Era
US,US43,43,Karla Cruz Godoy,US0636,14.0,14th voted out,7th jury member,5,True,False,False,US43US0636,Jury,New Era
US,US43,43,Lindsay Carmine,US0637,4.0,4th voted out,nan,15,False,False,False,US43US0637,Voted out pre-jury,New Era
US,US43,43,Mike Gabler,US0638,18.0,Sole Survivor,nan,1,False,True,True,US43US0638,Winner,New Era
US,US43,43,Morriah Young,US0639,1.0,1st voted out,nan,18,False,False,False,US43US0639,Voted out pre-jury,New Era
US,US43,43,Nneka Ejere,US0640,3.0,3rd voted out,nan,16,False,False,False,US43US0640,Voted out pre-jury,New Era
US,US43,43,Noelle Lambert,US0641,11.0,11th voted out,4th jury member,8,True,False,False,US43US0641,Jury,New Era
US,US43,43,Owen Knight,US0642,16.0,2nd runner-up,nan,3,False,True,False,US43US0642,Finalist,New Era
US,US43,43,Ryan Medrano,US0643,10.0,10th voted out,3rd jury member,9,True,False,False,US43US0643,Jury,New Era
US,US43,43,Sami Layadi,US0644,12.0,12th voted out,5th jury member,7,True,False,False,US43US0644,Jury,New Era
US,US44,44,Brandon Cottom,US0645,9.0,7th voted out,2nd jury member,10,True,False,False,US44US0645,Jury,New Era
US,US44,44,Jaime Lynn Ruiz,US0646,13.0,11th voted out,6th jury member,6,True,False,False,US44US0646,Jury,New Era
US,US44,44,Kane Fritzler,US0647,10.0,8th voted out,3rd jury member,9,True,False,False,US44US0647,Jury,New Era
US,US44,44,Lauren Harpe,US0648,14.0,12th voted out,7th jury member,5,True,False,False,US44US0648,Jury,New Era
US,US44,44,Maddy Pomilla,US0649,2.0,1st voted out,nan,17,False,False,False,US44US0649,Voted out pre-jury,New Era
US,US44,44,Matthew Grinstead-Mayle,US0650,6.0,Medically evacuated,nan,13,False,False,False,US44US0650,Voted out pre-jury,New Era
US,US44,44,Claire Rafson,US0651,4.0,3rd voted out,nan,15,False,False,False,US44US0651,Voted out pre-jury,New Era
US,US44,44,Danny Massa,US0652,12.0,10th voted out,5th jury member,7,True,False,False,US44US0652,Jury,New Era
US,US44,44,Frannie Marin,US0653,11.0,9th voted out,4th jury member,8,True,False,False,US44US0653,Jury,New Era
US,US44,44,Heidi Lagares-Greenblatt,US0654,17.0,Runner-up,nan,2,False,True,False,US44US0654,Finalist,New Era
US,US44,44,Josh Wilder,US0655,7.0,5th voted out,nan,12,False,False,False,US44US0655,Voted out pre-jury,New Era
US,US44,44,Matt Blankinship,US0656,8.0,6th voted out,1st jury member,11,True,False,False,US44US0656,Jury,New Era
US,US44,44,Bruce Perreault,US0657,1.0,Medically evacuated,nan,18,False,False,False,US44US0657,Voted out pre-jury,New Era
US,US45,45,Bruce Perreault,US0657,11.0,10th voted out,4th jury member,8,True,False,False,US45US0657,Jury,New Era
US,US44,44,Carolyn Wiger,US0658,16.0,2nd runner-up,nan,3,False,True,False,US44US0658,Finalist,New Era
US,US44,44,Carson Garrett,US0659,15.0,Lost final 4 fire challenge,8th jury member,4,True,False,False,US44US0659,Jury,New Era
US,US44,44,Helen Li,US0660,3.0,2nd voted out,nan,16,False,False,False,US44US0660,Voted out pre-jury,New Era
US,US44,44,Sarah Wade,US0661,5.0,4th voted out,nan,14,False,False,False,US44US0661,Voted out pre-jury,New Era
US,US44,44,Yam Yam Arocho,US0662,18.0,Sole Survivor,nan,1,False,True,True,US44US0662,Winner,New Era
US,US45,45,Austin Li Coon,US0663,17.0,Runner-up,nan,2,False,True,False,US45US0663,Finalist,New Era
US,US45,45,Brando Meyer,US0664,5.0,4th voted out,nan,14,False,False,False,US45US0664,Voted out pre-jury,New Era
US,US45,45,Brandon Donlon,US0665,2.0,1st voted out,nan,17,False,False,False,US45US0665,Voted out pre-jury,New Era
US,US45,45,Dee Valladares,US0666,18.0,Sole Survivor,nan,1,False,True,True,US45US0666,Winner,New Era
US,US50,50,Dee Valladares,US0666,,nan,nan,11,False,True,True,US50US0666,Winner,New Era
US,US45,45,Drew Basile,US0667,13.0,12th voted out,6th jury member,6,True,False,False,US45US0667,Jury,New Era
US,US45,45,Emily Flippen,US0668,12.0,11th voted out,5th jury member,7,True,False,False,US45US0668,Jury,New Era
US,US50,50,Emily Flippen,US0668,,nan,nan,10,False,True,True,US50US0668,Winner,New Era
US,US45,45,Hannah Rose,US0669,1.0,Quit,nan,18,False,False,False,US45US0669,Voted out pre-jury,New Era
US,US45,45,J. Maya,US0670,6.0,5th voted out,nan,13,False,False,False,US45US0670,Voted out pre-jury,New Era
US,US45,45,Jake O'Kane,US0671,16.0,2nd runner-up,nan,3,False,True,False,US45US0671,Finalist,New Era
US,US45,45,Julie Alley,US0672,14.0,13th voted out,7th jury member,5,True,False,False,US45US0672,Jury,New Era
US,US45,45,Kaleb Gebrewold,US0673,8.0,7th voted out,1st jury member,11,True,False,False,US45US0673,Jury,New Era
US,US45,45,Katurah Topps,US0674,15.0,Lost final 4 fire challenge,8th jury member,4,True,False,False,US45US0674,Jury,New Era
US,US45,45,Kellie Nalbandian,US0675,9.0,8th voted out,2nd jury member,10,True,False,False,US45US0675,Jury,New Era
US,US45,45,Kendra McQuarrie,US0676,10.0,9th voted out,3rd jury member,9,True,False,False,US45US0676,Jury,New Era
US,US45,45,Sabiyah Broderick,US0677,3.0,2nd voted out,nan,16,False,False,False,US45US0677,Voted out pre-jury,New Era
US,US45,45,Sean Edwards,US0678,4.0,3rd voted out; Quit,nan,15,False,False,False,US45US0678,Voted out pre-jury,New Era
US,US45,45,Sifu Alsup,US0679,7.0,6th voted out,nan,12,False,False,False,US45US0679,Voted out pre-jury,New Era
US,US46,46,Ben Katzman,US0680,16.0,2nd runner-up,nan,3,False,True,False,US46US0680,Finalist,New Era
US,US46,46,Bhanu Gopal,US0681,4.0,3rd voted out,nan,15,False,False,False,US46US0681,Voted out pre-jury,New Era
US,US46,46,Charlie Davis,US0682,17.0,Runner-up,nan,2,False,True,False,US46US0682,Finalist,New Era
US,US50,50,Charlie Davis,US0682,,nan,nan,9,False,True,True,US50US0682,Winner,New Era
US,US46,46,David Jelinsky,US0683,1.0,1st voted out,nan,18,False,False,False,US46US0683,Voted out pre-jury,New Era
US,US46,46,Hunter McKnight,US0684,10.0,9th voted out,3rd jury member,9,True,False,False,US46US0684,Jury,New Era
US,US46,46,Jem Hussain-Adams,US0685,5.0,4th voted out,nan,14,False,False,False,US46US0685,Voted out pre-jury,New Era
US,US46,46,Jess Chong,US0686,2.0,2nd voted out,nan,17,False,False,False,US46US0686,Voted out pre-jury,New Era
US,US46,46,Kenzie Petty,US0687,18.0,Sole Survivor,nan,1,False,True,True,US46US0687,Winner,New Era
US,US46,46,Liz Wilcox,US0688,15.0,Lost final 4 fire challenge,8th jury member,4,True,False,False,US46US0688,Jury,New Era
US,US46,46,Maria Shrime Gonzalez,US0689,14.0,13th voted out,7th jury member,5,True,False,False,US46US0689,Jury,New Era
US,US46,46,Moriah Gaynor,US0690,6.0,5th voted out,nan,13,False,False,False,US46US0690,Voted out pre-jury,New Era
US,US46,46,Q Burdette,US0691,13.0,12th voted out,6th jury member,6,True,False,False,US46US0691,Jury,New Era
US,US50,50,Q Burdette,US0691,,nan,nan,8,False,True,True,US50US0691,Winner,New Era
US,US46,46,Randen Montalvo,US0692,3.0,Medically evacuated,nan,16,False,False,False,US46US0692,Voted out pre-jury,New Era
US,US46,46,Soda Thompson,US0693,8.0,7th voted out,1st jury member,11,True,False,False,US46US0693,Jury,New Era
US,US46,46,Tevin Davis,US0694,9.0,8th voted out,2nd jury member,10,True,False,False,US46US0694,Jury,New Era
US,US46,46,Tiffany Nicole Ervin,US0695,11.0,10th voted out,4th jury member,8,True,False,False,US46US0695,Jury,New Era
US,US50,50,Tiffany Nicole Ervin,US0695,,nan,nan,7,False,True,True,US50US0695,Winner,New Era
